Symbol
NVDA
AAPL
MSFT
AMZN
GOOGL
GOOG
AVGO
META
TSLA
BRK.B
LLY
JPM
WMT
V
ORCL
XOM
MA
JNJ
NFLX
PLTR
ABBV
COST
AMD
BAC
HD
PG
GE
CVX
CSCO
KO
UNH
IBM
MU
WFC
MS
CAT
AXP
TMUS
PM
GS
RTX
CRM
MRK
ABT
TMO
MCD
PEP
LIN
ISRG
DIS
UBER
APP
QCOM
LRCX
INTU
AMGN
T
AMAT
C
NOW
NEE
VZ
INTC
SCHW
ANET
APH
BLK
BKNG
TJX
GEV
DHR
GILD
BSX
ACN
SPGI
KLAC
BA
TXN
PFE
PANW
ADBE
SYK
ETN
CRWD
COF
UNP
WELL
PGR
DE
LOW
HON
MDT
CB
ADI
PLD
COP
VRTX
HOOD
BX
LMT
KKR
HCA
CEG
PH
MCK
CME
ADP
SO
CMCSA
CVS
MO
SBUX
NEM
DUK
BMY
NKE
GD
TT
DELL
DASH
MMC
MMM
ICE
AMT
CDNS
MCO
WM
ORLY
SHW
HWM
UPS
NOC
JCI
BK
EQIX
MAR
COIN
APO
CTAS
TDG
AON
ABNB
WMB
USB
ECL
MDLZ
REGN
SNPS
ELV
PNC
CI
EMR
ITW
GLW
TEL
COR
MNST
RCL
AJG
GM
AEP
CSX
DDOG
PWR
CMI
AZO
TRV
RSG
ADSK
NSC
FDX
MSI
CL
HLT
WDAY
FTNT
KMI
MPC
EOG
SRE
AFL
SPG
VST
PYPL
FCX
APD
PSX
TFC
WBD
ALL
SLB
VLO
BDX
STX
IDXX
LHX
DLR
WDC
URI
ZTS
F
O
ROST
MET
D
PCAR
EA
EW
PSA
NDAQ
NXPI
CAH
ROP
BKR
XEL
EXC
FAST
CARR
CBRE
CTVA
AME
OKE
KR
MPWR
LVS
GWW
AXON
TTWO
ETR
AMP
MSCI
ROK
OXY
AIG
FANG
DHI
CMG
A
YUM
FICO
PEG
TGT
CCI
PAYX
CPRT
DAL
EBAY
PRU
IQV
EQT
GRMN
HIG
VMC
KDP
XYZ
VTR
ED
HSY
TRGP
PCG
SYY
MLM
WEC
RMD
CTSH
WAB
XYL
OTIS
KMB
CCL
FISV
NUE
FIS
ACGL
GEHC
STT
VICI
EXPE
KVUE
EL
NRG
LYV
RJF
LEN
UAL
WTW
KEYS
HPE
VRSK
IR
KHC
IBKR
TSCO
WRB
DTE
K
MCHP
CSGP
MTB
MTD
HUM
AEE
ADM
EXR
ROL
FITB
EXE
ATO
ES
EME
ODFL
BRO
PPL
FSLR
CBOE
IRM
TER
FE
BR
SYF
CHTR
CNP
AWK
AVB
EFX
CINF
GIS
DOV
LDOS
STE
HBAN
BIIB
NTRS
VLTO
ULTA
TDY
VRSN
PODD
TPL
HUBB
PHM
DG
HAL
HPQ
STLD
DXCM
WAT
EQR
EIX
STZ
CMS
DVN
CFG
WSM
PTC
TROW
LH
NTAP
SMCI
JBL
PPG
RF
L
DLTR
SBAC
DGX
TPR
INCY
TTD
NI
DRI
CHD
LULU
TYL
RL
CTRA
NVR
IP
AMCR
CPAY
KEY
ON
TSN
CDW
WST
BG
PFG
TRMB
J
EXPD
CHRW
SW
CNC
Q
ZBH
PKG
GPC
GPN
EVRG
GDDY
INVH
MKC
LNT
PSKY
IFF
SNA
PNR
APTV
LUV
IT
GEN
LII
DD
HOLX
ESS
FTV
DOW
WY
BBY
JBHT
MAA
ERIE
LYB
TKO
COO
TXT
UHS
DPZ
OMC
ALLE
KIM
FOX
EG
FOXA
ALB
FFIV
AVY
CF
BF.B
SOLV
NDSN
BALL
REG
CLX
AKAM
MAS
WYNN
HRL
IEX
VTRS
HII
ZBRA
DOC
HST
DECK
JKHY
SJM
BEN
BLDR
UDR
AIZ
BXP
DAY
CPT
HAS
PNW
RVTY
GL
IVZ
FDS
SWK
EPAM
SWKS
ALGN
AES
NWSA
MRNA
IPG
BAX
CPB
TECH
TAP
PAYC
ARE
AOS
POOL
GNRC
MGM
APA
DVA
HSIC
FRT
NCLH
CAG
MOS
CRL
LW
LKQ
MTCH
MOH
SOLS
MHK
NWS
