Symbol
AAPL
MSFT
GOOGL
GOOG
AMZN
NVDA
META
TSLA
AVGO
COST
NFLX
AMD
PEP
CSCO
ADBE
TMUS
INTU
TXN
QCOM
CMCSA
AMGN
HON
AMAT
SBUX
PANW
ADP
GILD
VRTX
ADI
LRCX
REGN
ISRG
BKNG
MU
SNPS
KLAC
INTC
PYPL
CDNS
MELI
CRWD
ORLY
FTNT
MRVL
CTAS
DASH
MNST
WDAY
DXCM
ABNB
CHTR
NXPI
TTD
TEAM
PCAR
PAYX
IDXX
CPRT
ODFL
AZN
KDP
FAST
ROST
BKR
GEHC
EA
CTSH
VRSK
DDOG
EXC
XEL
KHC
ZS
FANG
CSGP
CCEP
ANSS
CDW
ON
BIIB
WBD
MDB
ILMN
GFS
MCHP
DLTR
WBA
MRNA
SMCI
ARM
ALGN
SIRI
TTWO
RIVN
LCID
ZM
HOOD
RBLX
COIN
PLTR
SNOW
